アイスクリーム		ice cream	会L3
あいだ	間	between	会L4
あう	会う	to meet; to see (a person) [u]	会L4
アウトドア		outdoor activities	読L11-II
あおい	青い	blue	会L9
あかい	赤い	red	会L9
あおしんごう	青信号	green light	会L9(e)
あかるい	明るい	cheerful	読L11-II
あき	秋	fall	会L10
あける	開ける	to open (something) [ru]	会L6
あさ	朝	morning	会L3
あさごはん	朝ご飯	breakfast	会L3
あさって		the day after tomorrow	会L8
あし	足	leg; foot	会L12
アジアけんきゅう	アジア研究	Asian studies	会L1
あした	明日	tomorrow	会L3
あそこ		over there	会L2
あそぶ	遊ぶ	to play; to spend time pleasantly [u]	会L6
あたたかい	暖かい	warm	会L10
あたま	頭	head	会L7(e)
あたまがいい	頭がいい	bright; smart; clever	会L7
あたらしい	新しい	new	会L5
あつい	熱い	hot (thing)	会L5
あつい	暑い	hot (weather)	会L5
あと	後	after (an event)	会L11
あとで	後で	later on	会L6
あなた		you	会L4
あに	兄	(my) older brother	会L7
あね	姉	(my) older sister	会L7
あの		that ... (over there)	会L2
あのう		um ...	会L1
アボカド		avocado	会L8(e)
あまい	甘い	sweet	会L12
あまのがわ	天の川	the Milky Way	読L12-II
あまり + negative		not much	会L3
あめ	雨	rain	会L8
アメリカ		U.S.A.	会L1
あらう	洗う	to wash [u]	会L8
ありがとう		Thank you.	会G
ありがとうございます		Thank you. (polite)	会G
ある		there is ... [u]	会L4
あるいて	歩いて	on foot	会L10
あるく	歩く	to walk [u]	会L12
アルバイト		part-time job	会L4
あれ		that one (over there)	会L2
アレルギー		allergy	会L12
アンケート		questionnaire	読L8-II
あんないする	案内する	to show (someone) around [irr.]	読L9-II
いい		good	会L3
いいえ		No.; Not at all.	会G
いいこ	いい子	good child	会L9
いう	言う	to say [u]	会L8
いえ	家	home; house	会L3
〜いき	〜行き	bound for ...	会L10(e)
イギリス		Britain	会L1
いく	行く	to go [u]	会L3
いくら		how much	会L2
いしゃ	医者	doctor	会L1
いじわる(な)	意地悪	mean-spirited	会L9
いす		chair	会L4
いそがしい	忙しい	busy (people/days)	会L5
いそぐ	急ぐ	to hurry [u]	会L6
いたい	痛い	hurt; painful	会L12
いただきます		Thank you for the meal. (before eating)	会G
いたみどめ	痛み止め	painkiller	会L12(e)
イタリア		Italy	読L6-III
いちがつ	一月	January	会L4(e)
いちご		strawberry	会L8(e)
いちごうしゃ	一号車	Car No. 1	会L10(e)
いちじ	一時	one o'clock	会L1
いちじかん	一時間	one hour	会L4
いちねんせい	一年生	first-year student	会L1
いちねんにいちど	一年に一度	once a year	読L12-II
いちばん	一番	best	会L10
いつ		when	会L3
いつか	五日	the fifth day of a month	会L4(e)
いっしょに	一緒に	together	会L5
いつつ	五つ	five	会L9
いってきます		I'll go and come back.	会G
いってらっしゃい		Please go and come back.	会G
いっぷん	一分	one minute	会L1(e)
いつも		always	会L8
いぬ	犬	dog	会L4
いま	今	now	会L1
いみ	意味	meaning	会L12
いもうと(さん)	妹(さん)	younger sister	会L1
いらっしゃいませ		Welcome (to our store).	会L2
いりぐち	入口	entrance	会L10(e)
いる		(a person) is in ...; stays at ... [ru]	会L4
いる		to need [u]	会L8
いろ	色	color	会L9
いろいろ(な)		various	読L9-II
インド		India	会L1
インフルエンザ		influenza	会L12
ううん		uh-uh; no	会L8
うえ	上	on	会L4
うし	牛	cow	読L12-II
うしろ	後ろ	back	会L4
うそをつく		to tell a lie [u]	会L11
うた	歌	song	会L7
うたう	歌う	to sing [u]	会L7
うち		home; house; my place	会L3
うちゅうひこうし	宇宙飛行士	astronaut	会L11
うみ	海	sea	会L5
うる	売る	to sell [u]	読L10-II
うん		uh-huh; yes	会L8
うんてんする	運転する	to drive [irr.]	会L8
うんどうする	運動する	to exercise [irr.]	会L9
エアコン		air conditioner	会L6
えいが	映画	movie	会L3
えいご	英語	English language	会L2
ええ		yes	会L3
えき	駅	station	会L10
エジプト		Egypt	会L1
エルサイズ	Lサイズ	size L	会L5
〜えん	〜円	... yen	会L2
おいしい		delicious	会L2
おうふく	往復	round trip	会L10(e)
おおい	多い	there are many ...	会L12
おおきい	大きい	large	会L5
オーストラリア		Australia	会L1
おかあさん	お母さん	mother	会L1
おかえり(なさい)		Welcome home.	会G
おかし	お菓子	snack; sweets	会L11
おかね	お金	money	会L6
おかねもち	お金持ち	rich person	会L10
おきる	起きる	to get up [ru]	会L3
おこる	怒る	to get angry [u]	読L12-II
おさけ	お酒	sake; alcoholic drink	会L3
おじいさん		grandfather; old man	会L7
おしえる	教える	to teach; to instruct [ru]	会L6
おしょうがつ	お正月	New Year's	会L11
おしり		buttocks	会L7(e)
おしろ	お城	castle	読L5-II
おそい	遅い	slow; late	会L10
おそく	遅く	(do something) late	会L8
おそくなる	遅くなる	to be late [u]	会L8
おだいじに	お大事に	Get well soon.	会L12
おちゃ	お茶	green tea	会L3
おてあらい	お手洗い	restroom	会L12
おてら	お寺	temple	会L4
おとうさん	お父さん	father	会L1
おとうと(さん)	弟(さん)	younger brother	会L1
おとこのひと	男の人	man	会L7
おととい		the day before yesterday	会L4(e)
おととし		the year before last	会L4(e)
おとな	大人	adult	読L12-II
おどる	踊る	to dance [u]	会L9
おなか		stomach	会L12
おなかがすく		to become hungry [u]	会L11
おなじ	同じ	same	会L12
おにいさん	お兄さん	older brother	会L1
おねえさん	お姉さん	older sister	会L1
おねがいします		..., please.	会L2
おばあさん		grandmother; old woman	会L7
おはよう		Good morning.	会G
おはようございます		Good morning. (polite)	会G
おふろ	お風呂	bath	会L8
おふろにはいる	お風呂に入る	to take a bath [u]	会L8
おへんじ	お返事	reply	読L11-II
おべんとう	お弁当	boxed lunch	会L9
おぼえる	覚える	to memorize [ru]	会L9
おまつり	お祭り	festival	会L11
おまんじゅう		sweet bun	読L4-III
おみやげ	お土産	souvenir	会L5
おもう	思う	to think [u]	会L8
おもしろい	面白い	interesting; funny	会L5
おもち		rice cake	読L10-II
おもちゃ		toy	会L11
おやすみ(なさい)		Good night.	会G
およぐ	泳ぐ	to swim [u]	会L5
おりる	降りる	to get off [ru]	会L6
オレンジ		orange	会L9(e)
おわる	終わる	(something) ends [u]	会L9
おんがく	音楽	music	会L3
おんせん	温泉	spa; hot spring	会L11
おんなのひと	女の人	woman	会L7
〜か〜		or	会L10
〜が		..., but	会L7
カーテン		curtain	会L2(e)
がいこく	外国	foreign country	会L11
かいさつ	改札	gate	会L10(e)
かいしゃ	会社	company	会L7
かいしゃいん	会社員	office worker	会L1
かいだん	階段	stairs	会L10(e)
かいもの	買い物	shopping	会L4
かう	買う	to buy [u]	会L4
かう	飼う	to own (a pet) [u]	会L11
かえす	返す	to return (a thing) [u]	会L6
かえる	帰る	to go back; to return [u]	会L3
かお	顔	face	会L10
かおがあおい	顔が青い	to look pale	会L9(e)
かかる		to take (amount of time/money) [u]	会L10
かく	書く	to write [u]	会L4
がくせい	学生	student	会L1
がくわり	学割	student discount	会L10(e)
〜かげつ	〜か月	for ... months	会L10
かける(めがねを)		to put on (glasses) [ru]	会L7
かさ	傘	umbrella	会L2
かしゅ	歌手	singer	会L11
かぜ	風邪	cold	会L12
かぜをひく	風邪をひく	to catch a cold [u]	会L12
かぞく	家族	family	会L7
かた	肩	shoulder	会L7(e)
かたみち	片道	one way	会L10(e)
かっこいい		good-looking	会L5
がっこう	学校	school	会L3
かど	角	corner	会L6(e)
かなう		to be realized [u]	読L12-II
カナダ		Canada	会L1
かなしい	悲しい	sad	読L10-II
かねもち	金持ち	rich person	会L10
かのじょ	彼女	she; girlfriend	会L12
かばん		bag	会L2
カフェ		cafe	会L3
かぶき	歌舞伎	Kabuki; traditional Japanese theatrical art	会L9
かぶる		to put on (a hat) [u]	会L7
かふんしょう	花粉症	hay fever	会L12(e)
かみ	髪	hair	会L7
かみさま	神様	God	読L12-II
カメラ		camera	会L8
かようび	火曜日	Tuesday	会L4
〜から		from ...	会L9
カラオケ		karaoke	会L8
