おもい	重い	heavy; serious (illness)	会L20
おもいだす	思い出す	to recall [u]	読L19-II
おもいで	思い出	memory	会L23
おもに	主に	mainly	読L17-II
おや	親	parent	会L16
おやすみになる	お休みになる	honorific expression for ねる [u]	会L19
おゆ	お湯	hot water	会L17
おゆがわく	お湯が沸く	water boils [u]	会L18
おゆをわかす	お湯を沸かす	to boil water [u]	会L17
おる		extra-modest expression for いる [u]	会L20
おれい	お礼	expression of gratitude	会L19
おろす	下ろす	to withdraw (money) [u]	会L15
か	蚊	mosquito	会L21
〜かい	〜回	... times	会L13
〜かい	〜階	... th floor	会L20
かいがいりょこう	海外旅行	trip to a foreign country	会L23
かいぎ	会議	business meeting; conference	会L21
がいこくご	外国語	foreign language	会L13
がいこくじん	外国人	foreigner	会L15
かいだん	階段	stairs	会L23
かおもじ	顔文字	emoticon	読L23-II
〜かおをする	〜顔をする	to look ... (facial expression) [irr.]	会L23
かかりのもの	係の者	our person in charge	会L20
かぎ	鍵	lock; key	会L17
かぎをかける	鍵をかける	to lock [ru]	会L17
かく	描く	to draw; to paint [u]	会L15
かぐ	家具	furniture	会L15
かける		to sit down [ru]	会L19
かける(アイロンを)		to iron (clothes) [ru]	会L16
かける(かぎを)	かける(鍵を)	to lock [ru]	会L17
かける(パーマを)		to have one's hair permed [ru]	会L17(e)
かじ	火事	fire	会L17
かじ	家事	housework	会L22
かしこまりました		Certainly.	会L20
かす	貸す	to lend [u]	会L16
かぜ	風	wind	会L22
かぜがふく	風が吹く	the wind blows [u]	会L22
かぞえる	数える	to count [ru]	読L17-II
ガソリン		gasoline	会L21
かたづける	片付ける	to tidy up [ru]	会L18
かつ	勝つ	to win [u]	会L22
がっかりする		to be disappointed [irr.]	会L23
がっき	楽器	musical instrument	会L13
かつどう	活動	activity	会L15
かていきょうし	家庭教師	tutor	読L18-III
〜かど	〜角	corner	会L20
〜かな(あ)		I wonder ... (casual)	会L17
かなしい	悲しい	sad	会L13
カラー		hair coloring	会L17(e)
からい	辛い	hot and spicy; salty	会L13
からだ	体	body	会L13
かる	刈る	to crop [u]	会L17(e)
かるい	軽い	light	会L20
かわいそう(な)		pitiful; feel sorry for; poor thing	会L23
かわりに	代わりに	instead	読L22-II
かんがえる	考える	to think (about); to consider [ru]	会L18
かんきょう	環境	environment	会L21
かんこうする	観光する	to do sightseeing [irr.]	会L15
かんじょう	感情	feeling; emotion	読L23-II
かんせいする	完成する	to be completed [irr.]	読L17-II
かんどうする	感動する	to be moved/touched (by ...) [irr.]	会L13
カンニングする		to cheat in an exam [irr.]	会L23
がんばる	頑張る	to do one's best; to try hard [u]	会L13
き	木	tree	会L22
きえる	消える	(something) goes off [ru]	会L18
きがえる	着替える	to change clothes [ru]	会L21
きがつく	気が付く	to notice [u]	会L21
きごう	記号	symbol	読L23-II
きこえる	聞こえる	to be audible [ru]	会L20
キスをする		to kiss [irr.]	読L23-II
きたない	汚い	dirty	会L16
きつえん	喫煙	smoking	会L15(e)
きにいる	気に入る	to find something agreeable [u]	会L23
きにする	気にする	to worry [irr.]	読L21-II
きびしい	厳しい	strict	会L13
きぶんがわるい	気分が悪い	not to feel well; to feel sick	会L13
きまつしけん	期末試験	final examination	会L16
きまる	決まる	to be decided [u]	会L19
きもの	着物	kimono; Japanese traditional dress	会L13
キャッシュカード		bank card	会L13(e)
きゅうこう	休講	class cancellation	会L23
きゅうに	急に	suddenly	会L14
きゅうりょう	給料	salary	会L17
きょうしつ	教室	classroom	会L15
きょうじゅうに	今日中に	by the end of today	会L16
〜キロ		... kilometers; ... kilograms	会L13
きをつける	気をつける	to be cautious/careful [ru]	会L15
きんえん	禁煙	non-smoking	会L15(e)
きんがく	金額	amount	会L13(e)
くうこう	空港	airport	会L13
くじら		whale	読L15-II
くださる	下さる	honorific expression for くれる [u]	会L19
くつした	靴下	socks	会L23
くも	雲	cloud	読L17-II
くらい	暗い	dark	会L18
くらべる	比べる	to compare [ru]	会L21
クリスマス		Christmas	会L14
クレジットカード		credit card	会L13(e)
くれる		to give (me) [ru]	会L14
〜くん	〜君	Mr./Ms. ... (casual)	会L14
けいかくをたてる	計画を立てる	to make a plan [ru]	会L22
けいけん	経験	experience	会L15
けいご	敬語	honorific language	会L19
けいさつ	警察	police; police station	会L21
げいじゅつ	芸術	art	読L17-II
けいたい(でんわ)	携帯(電話)	cell phone	会L18
けしょうする	化粧する	to put makeup on [irr.]	会L17
けしょうひん	化粧品	cosmetics	会L14
けち(な)		stingy; cheap	会L14
けっか	結果	result	会L23
けっこんしき	結婚式	wedding	会L15
〜けど		..., but; ..., so	会L15
ける		to kick [u]	会L21
げんきでね	元気でね	Take care of yourself.	会L23
けんきゅう	研究	research	会L16
