001	一	3	いち/いっ	ひと	one	一(いち)=one;一時(いちじ)=one o'clock;一年生(いちねんせい)=first-year student;一分(いっぷん)=one minute;一つ(ひとつ)=one
002	二	3	に	ふた	two	二(に)=two;二時(にじ)=two o'clock;二年生(にねんせい)=second-year student;二つ(ふたつ)=two;二日間(ふつかかん)=two days
003	三	3	さん	みっ	three	三(さん)=three;三時(さんじ)=three o'clock;三年生(さんねんせい)=third-year student;三月(さんがつ)=March;三つ(みっつ)=three
004	四	3	し	よん/よ/よっ	four	四(よん)=four;四時(よじ)=four o'clock;四年生(よねんせい)=fourth-year student;四月(しがつ)=April;四つ(よっつ)=four
005	五	3	ご	いつ	five	五(ご)=five;五時(ごじ)=five o'clock;五月(ごがつ)=May;五歳(ごさい)=five years old;五つ(いつつ)=five
006	六	3	ろく/ろっ	むっ	six	六(ろく)=six;六時(ろくじ)=six o'clock;六百(ろっぴゃく)=six hundred;六分(ろっぷん)=six minutes;六つ(むっつ)=six
007	七	3	しち	なな	seven	七(しち/なな)=seven;七時(しちじ)=seven o'clock;七月(しちがつ)=July;七つ(ななつ)=seven;七人(ななにん/しちにん)=seven people
008	八	3	はち/はっ	やっ	eight	八(はち)=eight;八時(はちじ)=eight o'clock;八百(はっぴゃく)=eight hundred;八歳(はっさい)=eight years old;八つ(やっつ)=eight
009	九	3	きゅう/く	ここの	nine	九(きゅう)=nine;九時(くじ)=nine o'clock;九月(くがつ)=September;九歳(きゅうさい)=nine years old;九つ(ここのつ)=nine
010	十	3	じゅう/じゅっ/じっ	とお	ten	十(じゅう)=ten;十時(じゅうじ)=ten o'clock;十月(じゅうがつ)=October;十歳(じゅっさい/じっさい)=ten years old;十(とお)=ten
011	百	3	ひゃく/びゃく/ぴゃく		hundred	百(ひゃく)=hundred;三百(さんびゃく)=three hundred;六百(ろっぴゃく)=six hundred;八百(はっぴゃく)=eight hundred
012	千	3	せん/ぜん		thousand	千(せん)=thousand;三千(さんぜん)=three thousand;八千(はっせん)=eight thousand;千円(せんえん)=one thousand yen
013	万	3	まん		ten thousand	一万(いちまん)=ten thousand;十万(じゅうまん)=one hundred thousand;百万(ひゃくまん)=one million
014	円	3	えん	まる	yen; circle	百円(ひゃくえん)=one hundred yen;円(えん)=circle;円高(えんだか)=strong yen;円い(まるい)=round
015	時	3	じ	とき	time	一時(いちじ)=one o'clock;時間(じかん)=time, ... hours;子どもの時(こどものとき)=in one's childhood;時々(ときどき)=sometimes;時計(とけい)=watch, clock
016	日	4	に/にち/にっ	び/ひ/か	day; sun	日本(にほん)=Japan;日曜日(にちようび)=Sunday;毎日(まいにち)=every day;母の日(ははのひ)=Mother's Day;日記(にっき)=diary;三日(みっか)=three days
017	本	4	ほん	もと	book; basis	本(ほん)=book;日本(にほん)=Japan;日本語(にほんご)=Japanese language;山本さん(やまもとさん)=Mr./Ms. Yamamoto
018	人	4	じん/にん	ひと	person	日本人(にほんじん)=Japanese people;一人で(ひとりで)=alone;この人(このひと)=this person;三人(さんにん)=three people
019	月	4	げつ/がつ	つき	moon; month	月曜日(げつようび)=Monday;一月(いちがつ)=January;月(つき)=moon;今月(こんげつ)=this month;一か月(いっかげつ)=one month
