180	味	15	み	あじ	flavor; taste	意味(いみ)=meaning;趣味(しゅみ)=hobby;興味(きょうみ)=interest;味噌(みそ)=soybean paste;味(あじ)=taste
181	注	15	ちゅう	そそ	to pour; to shed	注意する(ちゅういする)=to watch out;注文する(ちゅうもんする)=to order;注ぐ(そそぐ)=to pour
182	夏	15	か	なつ	summer	夏(なつ)=summer;夏休み(なつやすみ)=summer vacation;初夏(しょか)=early summer
183	魚	15	ぎょ	さかな/うお	fish	魚(さかな)=fish;魚屋(さかなや)=fish shop;金魚(きんぎょ)=goldfish;人魚(にんぎょ)=mermaid;魚市場(うおいちば)=fish market
184	寺	15	じ	てら/でら	temple	お寺(おてら)=temple;東寺(とうじ)=Toji (the name of a temple);寺院(じいん)=sacred building;禅寺(ぜんでら)=Zen temple
185	広	15	こう	ひろ	spacious; wide	広い(ひろい)=wide, spacious;広場(ひろば)=square, open space;広島(ひろしま)=Hiroshima;広告(こうこく)=advertisement
186	足	15	そく	あし/た	foot; leg	足(あし)=foot, leg;足りる(たりる)=to be sufficient;一足(いっそく)=one pair of shoes;水不足(みずぶそく)=lack of water
187	転	15	てん	ころ	to roll over	自転車(じてんしゃ)=bicycle;運転する(うんてんする)=to drive;回転ずし(かいてんずし)=conveyor belt sushi;転ぶ(ころぶ)=to tumble, to fall down
188	借	15	しゃく/しゃっ	か	to borrow	借りる(かりる)=to borrow;借地(しゃくち)=rented land;借金(しゃっきん)=debt;借家(しゃくや)=rented house
189	走	15	そう	はし	to run	走る(はしる)=to run;走り書き(はしりがき)=hasty writing;脱走(だっそう)=escape from a prison
190	場	15	じょう	ば	place	場所(ばしょ)=place;工場(こうじょう)=factory;市場(いちば)=market;場合(ばあい)=case;駐車場(ちゅうしゃじょう)=parking lot
191	建	15	けん	たて/た	to build	建物(たてもの)=building;建てる(たてる)=to build;建つ(たつ)=to be built;建国(けんこく)=founding a nation
192	地	15	ち/じ		ground	地下(ちか)=underground;地下鉄(ちかてつ)=subway;地図(ちず)=map;地球(ちきゅう)=the earth;地震(じしん)=earthquake
193	通	15	つう	とお/かよ	to pass; to commute	通る(とおる)=to go through, to pass;通う(かよう)=to commute;通学(つうがく)=going to school;通勤(つうきん)=going to work
194	供	16	きょう	ども/そな	companion; offer	子供(こども)=child;供える(そなえる)=to offer something to a spirit;提供(ていきょう)=offer
195	世	16	せ/せい	よ	world; generation	世界(せかい)=the world;世話(せわ)=care;世代(せだい)=generation;三世(さんせい)=the third generation;世の中(よのなか)=society
196	界	16	かい		world	世界(せかい)=the world;視界(しかい)=visibility;政界(せいかい)=political world;限界(げんかい)=limit
197	全	16	ぜん	まった/すべ	all	全部(ぜんぶ)=all;安全(あんぜん)=safety;全国(ぜんこく)=whole country;全く(まったく)=entirely;全て(すべて)=all
198	部	16	ぶ/へ		part; section	全部(ぜんぶ)=all;部屋(へや)=room;テニス部(テニスぶ)=tennis club;部長(ぶちょう)=department manager
199	始	16	し	はじ	to begin	始まる(はじまる)=(something) begins;始める(はじめる)=to begin (something);始発(しはつ)=first train (of the day);開始(かいし)=start
200	週	16	しゅう		week	毎週(まいしゅう)=every week;先週(せんしゅう)=last week;一週間(いっしゅうかん)=one week;二週目(にしゅうめ)=second week;週末(しゅうまつ)=weekend
201	考	16	こう	かんが	to think; idea	考える(かんがえる)=to think;考え(かんがえ)=idea;考古学(こうこがく)=archaeology;参考(さんこう)=reference
202	開	16	かい	あ/ひら	to open	開ける(あける)=to open (something);開く(あく)=(something) opens;開く(ひらく)=to open;開店(かいてん)=opening of a store
203	屋	16	おく	や	shop; house	部屋(へや)=room;本屋(ほんや)=bookstore;魚屋(さかなや)=fish shop;屋上(おくじょう)=rooftop;屋内(おくない)=indoor
204	方	16	ほう	かた/がた	direction; person	味方(みかた)=ally, person on one's side;読み方(よみかた)=way of reading;夕方(ゆうがた)=evening;両方(りょうほう)=both;方法(ほうほう)=method
205	運	16	うん	はこ	transport; luck	運動(うんどう)=exercise;運転(うんてん)=driving;運がいい(うんがいい)=lucky;運命(うんめい)=fate;運ぶ(はこぶ)=to carry
206	動	16	どう	うご	to move	運動(うんどう)=exercise;動く(うごく)=to move;自動車(じどうしゃ)=automobile;動物(どうぶつ)=animal;動詞(どうし)=verb
207	教	16	きょう	おし	to teach	教える(おしえる)=to teach;教室(きょうしつ)=classroom;教会(きょうかい)=church;キリスト教(キリストきょう)=Christianity;教科書(きょうかしょ)=textbook
208	室	16	しつ		room	教室(きょうしつ)=classroom;研究室(けんきゅうしつ)=professor's office;地下室(ちかしつ)=basement;待合室(まちあいしつ)=waiting room
